# column 1: lambda (micron)
# column 2: total kappa_ext (m2/kg)
# column 3: total kappa_abs (m2/kg)
# column 4: total kappa_sca (m2/kg)
# column 5: mean asymmpar
#lambda      ext          abs          sca          asy
1.350994e+01 8.148471e+01 8.127681e+01 2.079003e-01 -5.712679e-02
1.448118e+01 7.428054e+01 7.412920e+01 1.513405e-01 -5.676388e-02
1.552225e+01 8.655953e+01 8.644694e+01 1.125943e-01 -5.506690e-02
1.663817e+01 1.037306e+02 1.036447e+02 8.592660e-02 -5.230344e-02
1.783431e+01 1.160019e+02 1.159349e+02 6.696906e-02 -4.893416e-02
1.911644e+01 1.122436e+02 1.121911e+02 5.253772e-02 -4.600183e-02
2.049075e+01 9.765360e+01 9.761309e+01 4.050861e-02 -4.475135e-02
2.196385e+01 8.381375e+01 8.378277e+01 3.097994e-02 -4.418417e-02
2.354286e+01 7.235681e+01 7.233316e+01 2.364530e-02 -4.343296e-02
2.523539e+01 6.285531e+01 6.283719e+01 1.811650e-02 -4.337792e-02
2.704960e+01 5.463393e+01 5.462004e+01 1.389045e-02 -4.329312e-02
2.899423e+01 4.765891e+01 4.764822e+01 1.068321e-02 -4.273417e-02
3.107866e+01 4.166392e+01 4.165567e+01 8.242713e-03 -4.179151e-02
3.331295e+01 3.650913e+01 3.650276e+01 6.371810e-03 -4.057326e-02
3.570786e+01 3.215692e+01 3.215200e+01 4.923088e-03 -3.886146e-02
3.827494e+01 2.831263e+01 2.830883e+01 3.803336e-03 -3.685048e-02
4.102658e+01 2.477717e+01 2.477424e+01 2.936187e-03 -3.470361e-02
4.397604e+01 2.160878e+01 2.160652e+01 2.261155e-03 -3.238314e-02
4.713753e+01 1.880365e+01 1.880192e+01 1.737131e-03 -2.908457e-02
5.052631e+01 1.632490e+01 1.632357e+01 1.330273e-03 -2.439195e-02
5.415871e+01 1.414250e+01 1.414148e+01 1.016221e-03 -1.802461e-02
5.805226e+01 1.223017e+01 1.222939e+01 7.748545e-04 -1.105511e-02
6.222571e+01 1.055874e+01 1.055815e+01 5.899274e-04 -3.891604e-03
6.669920e+01 9.098326e+00 9.097878e+00 4.481480e-04 2.970239e-03
7.149429e+01 7.838186e+00 7.837845e+00 3.401886e-04 8.748587e-03
7.663411e+01 6.746287e+00 6.746029e+00 2.580440e-04 1.306755e-02
8.214344e+01 5.805065e+00 5.804869e+00 1.955707e-04 1.557434e-02
8.804884e+01 4.999690e+00 4.999542e+00 1.482012e-04 1.580644e-02
9.437878e+01 4.309385e+00 4.309273e+00 1.122561e-04 1.437449e-02
1.011638e+02 3.716484e+00 3.716399e+00 8.498394e-05 1.217770e-02
1.084366e+02 3.208855e+00 3.208791e+00 6.430830e-05 9.284100e-03
1.162322e+02 2.781086e+00 2.781038e+00 4.873535e-05 6.206882e-03
1.245883e+02 2.415289e+00 2.415252e+00 3.684007e-05 3.378864e-03
1.335452e+02 2.113228e+00 2.113200e+00 2.796218e-05 1.031915e-03
1.431459e+02 1.836476e+00 1.836455e+00 2.148825e-05 -8.505956e-04
1.534368e+02 1.577338e+00 1.577322e+00 1.629725e-05 -2.373042e-03
1.644676e+02 1.362479e+00 1.362467e+00 1.232200e-05 -3.581004e-03
1.762914e+02 1.179829e+00 1.179819e+00 9.309595e-06 -4.562751e-03
1.889652e+02 1.024238e+00 1.024230e+00 7.053165e-06 -5.365457e-03
2.025502e+02 8.889203e-01 8.889150e-01 5.332183e-06 -6.010096e-03
2.171118e+02 7.726324e-01 7.726284e-01 4.038748e-06 -6.546340e-03
2.327202e+02 6.716826e-01 6.716796e-01 3.058278e-06 -6.993041e-03
2.494508e+02 5.841915e-01 5.841891e-01 2.316652e-06 -7.373199e-03
2.673842e+02 5.080903e-01 5.080886e-01 1.755132e-06 -7.676130e-03
2.866068e+02 4.417540e-01 4.417527e-01 1.328192e-06 -7.937838e-03
3.072113e+02 3.843919e-01 3.843909e-01 1.006136e-06 -8.140545e-03
3.292971e+02 3.347152e-01 3.347144e-01 7.625257e-07 -8.312894e-03
3.529707e+02 2.914203e-01 2.914197e-01 5.774414e-07 -8.451660e-03
3.783463e+02 2.537368e-01 2.537364e-01 4.372618e-07 -8.564732e-03
4.055461e+02 2.210261e-01 2.210257e-01 3.313227e-07 -8.644651e-03
4.347013e+02 1.925408e-01 1.925405e-01 2.510038e-07 -8.697882e-03
4.659526e+02 1.677732e-01 1.677730e-01 1.901828e-07 -8.725634e-03
4.994505e+02 1.461986e-01 1.461984e-01 1.440415e-07 -8.729219e-03
5.353567e+02 1.274308e-01 1.274307e-01 1.090930e-07 -8.729719e-03
5.738442e+02 1.111006e-01 1.111006e-01 8.262464e-08 -8.685834e-03
6.150986e+02 9.691429e-02 9.691423e-02 6.261102e-08 -8.639435e-03
6.593188e+02 8.452208e-02 8.452203e-02 4.741144e-08 -8.579446e-03
7.067181e+02 7.374120e-02 7.374116e-02 3.590735e-08 -8.480107e-03
7.575250e+02 6.436382e-02 6.436379e-02 2.720866e-08 -8.354035e-03
8.119845e+02 5.617954e-02 5.617952e-02 2.060854e-08 -8.235882e-03
8.703591e+02 4.905561e-02 4.905559e-02 1.561449e-08 -8.078786e-03
9.329304e+02 4.284009e-02 4.284008e-02 1.182867e-08 -7.913971e-03
1.000000e+03 3.741866e-02 3.741865e-02 8.958741e-09 -7.732807e-03
