       id  redshift  xray_boxcar_2to7keV  xray_boxcar_2to7keV_err  cfht.megacam.u      cfht.megacam.u_err  cfht.megacam.g      cfht.megacam.g_err  cfht.megacam.r      cfht.megacam.r_err  cfht.megacam.inew   cfht.megacam.inew_err  cfht.megacam.z      cfht.megacam.z_err   WFCAM_Y             WFCAM_Y_err   WFCAM_J            WFCAM_J_err   WFCAM_K            WFCAM_K_err       N2                N2_err      N3                 N3_err      N4                N4_err      S7                 S7_err     S9W               S9W_err     S11               S11_err     L15               L15_err    L18W              L18W_err    L24              L24_err  PACS_green      PACS_green_err  PACS_red        PACS_red_err 
 61010950       1.2            3.158e-07    9.547411376912593e-08        0.001492  0.00022845051980680632        0.002077   0.0002989386057370309         0.00294   0.0004229089736574527           0.003806   0.0005608924674124266        0.007859    0.001202388793194614  0.007405   0.0014614856311301867   0.01013   0.001777011254888387    0.0144  0.0028418479903049004      nan                   nan     nan                    nan     nan                   nan  0.0508    0.03388298097865653  0.0566  0.011187408100181205  0.0552  0.014863054867691232   0.139   0.05682622633960485   0.199  0.038621496604870194  0.225  0.06558056114429031         nan                 nan       nan                 nan 
 61011052       1.3            2.298e-07   1.1433319902810381e-07        0.005466   0.0008190674941663843        0.007203   0.0010269645027945222        0.008556   0.0012302468695347289           0.009649   0.0013874584714505872         0.01885   0.0027775573801453683   0.02116   0.0033599934523745726   0.02342   0.003719820425773266   0.04078  0.0062528140864733855    0.064  0.011957006314291216  0.0788   0.012265985488333173  0.0869  0.013082985133370749   0.089   0.014620875486782588  0.0931  0.019999152482042835   0.123  0.024337008854828486   0.305   0.04825981765402766   0.326  0.051601937948104235  0.301  0.07190340742969001         nan                 nan       nan                 nan 
 61011191       0.4            1.786e-07    8.773704804699095e-08         0.01061   0.0015868588469047902          0.0264    0.003761914406256474         0.05705    0.008135540854792631             0.0712    0.010154407909868502          0.1075    0.015309229242519037    0.1142    0.017079414509871233    0.1478   0.022151713252026355    0.2082   0.031172301807854998    0.229   0.03331741286474687   0.179     0.0261767072031606   0.127   0.01882817038376273  0.0965   0.018770522102488252   0.263   0.04572143917244951   0.331   0.05016871535130235   0.375   0.06508832460587691   0.452   0.06829699846991814  0.434  0.08544308046881269       5.325  1.0388552594081624       nan                 nan 
 61011206       1.1            2.995e-07    8.786217900780744e-08         0.03233   0.0048089384483480345         0.03851    0.005495143401222574         0.04288     0.00611527137582626            0.04451    0.006350771685393831         0.06845    0.009761947807686744   0.05882    0.008818323196617371   0.05268   0.008075037089698102   0.08443    0.01265737528083923      nan                   nan     nan                    nan     nan                   nan    0.53     0.0758781259652609   0.631   0.09240054112395664   0.684   0.10732124673148369     1.0   0.14355835050598764    1.17   0.16831518053936786   1.46   0.2279056822459677         nan                 nan       nan                 nan 
 61011221       1.2            3.789e-07    1.469682009823894e-07        0.004546   0.0006817075325973742             nan                     nan             nan                     nan           0.006863   0.0009867566518650887         0.01341    0.002049580688823936  0.009943    0.001741703904227122   0.03887   0.006452229769622282   0.01934  0.0035861896213111766    0.026  0.004678899443245174  0.0413   0.008257081808968591  0.0541  0.008418467794082247  0.0716   0.012462166745795051  0.0924  0.018736798018871847  0.0985  0.019302396224303346   0.117   0.03192146613174276   0.191  0.034808332335807185    nan                  nan         nan                 nan       nan                 nan 
 61011303       1.3             5.55e-07   1.4227174701956816e-07       0.0007476  0.00012413648778662943         0.00124   0.0001825705343148231        0.001889   0.0002780273547692745           0.002272  0.00034754688892291933        0.005641   0.0009060296959813182  0.006331   0.0011742813163803639  0.008196  0.0015199158397753477    0.0214  0.0035560089988637546   0.0327  0.006287272858720226  0.0551   0.008392198758370778   0.104   0.01704142012861604   0.259    0.03763110415600372   0.356  0.052290056416110314   0.408   0.06330244860982867   0.659   0.09621236926715815    0.79   0.11473116403139996   1.09   0.2207826985975124       6.636  1.1686782961961775       nan                 nan 
 61011647       1.3            2.377e-06   3.0681800794607864e-07         0.03481    0.005175544512416061         0.05991    0.008542843847337958         0.05705    0.008135540854792631            0.06554    0.009344009631844351         0.08777    0.012514077233260151   0.09322    0.013966376910279917    0.1152   0.017295097571277243    0.2044   0.030620803385933558    0.285   0.04240530627173915   0.404    0.06712019070294721   0.431   0.06332906125942496   0.704     0.1015598345804088   0.968   0.14062090882937714    1.25   0.17819652072922187    1.97    0.2800178565734693     2.3    0.3281097377402871   3.32  0.48971828636472214       11.67  1.8149349850614485     23.51  3.8509350812497476 
 61011731       1.9            4.214e-07   1.1872985976577248e-07       0.0002156   5.445028558235485e-05       0.0007613  0.00011643619239738133        0.001038  0.00015866455180663387           0.001772  0.00028483124828571744        0.003016   0.0005442164642860412       nan                     nan       nan                    nan       nan                    nan   0.0277  0.004881936091347366  0.0275   0.005171740519399635  0.0281  0.004847535456291166     nan                    nan  0.0291  0.008512819744362028     nan                   nan     nan                   nan  0.0557  0.021726134032542466  0.139  0.06178389757857625         nan                 nan       nan                 nan 
 61011944       1.4             7.66e-07   2.7392801974241335e-07             nan                     nan       0.0003323   6.823776740193073e-05       0.0005061   9.746928798344636e-05           0.001529  0.00024544329283971073        0.004124   0.0007003069041498877   0.01174   0.0023104925881724876  0.009854   0.002069640828742997   0.03094   0.005411694374223289      nan                   nan     nan                    nan     nan                   nan  0.0971    0.01671059843332967   0.129  0.020089051744669285   0.107  0.020256603861457133   0.271   0.04387094710625701   0.241   0.04086330872555476  0.281  0.08620823626545204         nan                 nan       nan                 nan 
 61012076       1.4            2.276e-07    8.577474919811774e-08       0.0008427   0.0001566059797708887         0.00159   0.0002431810025474852        0.002271   0.0003474815246887236           0.003841   0.0005878416538490616        0.008154   0.0012474025653332608   0.01437    0.002382219343385491   0.02216   0.003516184864309611   0.04513   0.007161059209362816   0.0574  0.008875837988607048  0.0775   0.011561959176540973   0.077  0.011670599813205833  0.0524    0.02603281774990944  0.0749  0.025141600983230962   0.115  0.021191743675309023   0.308  0.048604526538173376   0.369  0.061340117378433506  0.465   0.0889263178142444         nan                 nan       nan                 nan 
