# hst.wfc3.F336W
# photon
# HST UVIS/WFC3 F336W filter Chip 2
2145				3.93929683968097E-08
2146				3.98714965771642E-08
2147				4.03528800126224E-08
2148				4.08363734670923E-08
2149				4.13227458684524E-08
2150				4.18112340104316E-08
2150.67651367187				4.21428267619596E-08
2151				4.19669710490522E-08
2152				4.14203773423781E-08
2153				4.08698799781476E-08
2154				4.03158443748699E-08
2155				3.97574968966681E-08
2156				3.91955711199648E-08
2157				3.86293232452889E-08
2158				3.80591088884588E-08
2159				3.7485266641272E-08
2160				3.69070759744789E-08
2160.6787109375				3.65120888267336E-08
2161				3.64317237603587E-08
2162				3.61799522388775E-08
2163				3.59262075159834E-08
2164				3.56708172790015E-08
2165				3.54131046001873E-08
2166				3.51533995684362E-08
2167				3.48920185570417E-08
2168				3.46283071298974E-08
2169				3.43625840868297E-08
2170				3.40951620999239E-08
2170.6806640625				3.39112584955282E-08
2171				3.40371642338643E-08
2172				3.44327249414553E-08
2173				3.483056304231E-08
2174				3.52300436882719E-08
2175				3.56314907950114E-08
2176				3.60352469878002E-08
2177				3.64406474382525E-08
2178				3.68480269469565E-08
2179				3.72577476640018E-08
2180				3.76691181187997E-08
2180.68286132812				3.79505781615288E-08
2181				3.80078899009007E-08
2182				3.81890171319274E-08
2183				3.83711300403469E-08
2184				3.85535101459701E-08
2185				3.8736524534156E-08
2186				3.8920170445161E-08
2187				3.9104814793628E-08
2188				3.92897299849154E-08
2189				3.94752812507523E-08
2190				3.96614657008924E-08
2190.68481445312				3.97889445040012E-08
2191				3.98097326404448E-08
2192				3.98752761242698E-08
2193				3.99407582543609E-08
2194				4.00061785173055E-08
2195				4.00719105507036E-08
2196				4.01372016480287E-08
2197				4.02024337843074E-08
2198				4.02676019871483E-08
2199				4.03327057371531E-08
2200				4.03977445137225E-08
2200.68701171875				4.04350464593409E-08
2201				4.01500518672586E-08
2202				3.92357971155397E-08
2203				3.83164893304784E-08
2204				3.73921099897743E-08
2205				3.64626450064185E-08
