id	redshift	xray_boxcar_2to10keV	xray_boxcar_0p5to2keV	galex.FUV	galex.FUV_err	galex.NUV	galex.NUV_err	u_prime	u_prime_err	g_prime	g_prime_err	r_prime	r_prime_err	i_prime	i_prime_err	z_prime	z_prime_err	UKIRT_WFCJ	UKIRT_WFCJ_err	ukirt.H	ukirt.H_err	ukirt.Ks	ukirt.Ks	WISE1	WISE1_err	WISE2	WISE2_err	WISE3	WISE3_err	WISE4	WISE4_err	PSW	PSW_err	PMW	PMW_err	PLW	PLW_err
2525	0.3748477	3.098	6.77	nan	nan	nan	nan	2250.7999999999997	1068.0	14128.0	457.7	58053.0	795.3	97906.0	1253.0	133750.0	3705.0	148290.0	8042.0	205370.0	11440.0	278810.0	18310.0	218790.0	8752.0	184000.0	13620.0	nan	nan	2600000.0	nan	nan	nan	nan	nan	nan	nan
2533	1.067276	nan	2.76	nan	nan	nan	nan	5548.7	581.0	7623.599999999999	230.2	12432.0	331.9	12449.0	437.0	14235.0	1492.0	23079.0	4598.0	26591.0	6331.0	37351.0	9659.0	72849.0	6556.0	89130.0	12750.0	463470.0	181700.0	nan	nan	nan	nan	nan	nan	nan	nan
2536	0.4166822	1.105	6.890000000000001	nan	nan	nan	nan	5381.5	1108.0	18878.0	453.1	65182.0	788.6999999999999	113140.0	1165.0	158000.0	4108.0	202390.0	7051.0	278990.0	11270.0	341380.0	16329.999999999998	305930.0	11630.0	232500.0	15810.0	nan	nan	2600000.0	nan	nan	nan	nan	nan	nan	nan
2542	0.7613664	0.7688	1.9580000000000002	nan	nan	8000.500000000001	822.3000000000001	5562.700000000001	586.3000000000001	8560.1	254.2	10929.0	338.8	17696.0	483.09999999999997	25608.0	1549.0	28702.0	6937.0	nan	nan	66251.0	16290.0	50307.0	7194.0	39122.0	13030.0	444470.0	157000.0	nan	nan	nan	nan	nan	nan	nan	nan
2551	0.6817994	9.769	33.19	nan	nan	nan	nan	94831.0	1792.0	116700.0	758.5	104000.0	769.5999999999999	117380.0	962.5	129930.0	2780.0	100880.0	4682.0	144490.0	6418.0	228400.0	9847.0	479100.0	14850.0	616630.0	22820.0	1480400.0	161800.0	3744800.0	1103000.0	61146000.0	10430000.0	32728000.0	10380000.0	25313000.0	10940000.0
2555	0.7481193	5.762	25.28	23920.0	2035.0000000000002	62875.0	2011.0000000000002	64072.0	1474.0	92441.0	674.8	91906.0	716.9	80492.0	829.0999999999999	102610.0	2360.0	67888.0	4639.0	81472.0	7285.0	100560.0	8890.0	180810.0	8498.0	217380.0	14780.0	496750.0	159800.0	nan	nan	nan	nan	nan	nan	nan	nan
2563	0.3047622	1.341	4.072	nan	nan	nan	nan	4484.0	613.4	7907.099999999999	264.1	14989.0	400.2	19523.0	552.5	26970.0	1723.0	44409.0	6977.0	41639.0	11260.0	57649.0	16270.0	48532.0	6066.0	42936.0	13350.0	nan	nan	2600000.0	nan	nan	nan	nan	nan	nan	nan
2570	0.7776818	9.534	51.44	nan	nan	nan	nan	325190.0	3252.0	430800.0	1422.0	442500.0	1504.0	409610.0	1679.0	480280.0	4659.0	513820.00000000006	5268.0	408770.0	7794.0	534010.0	9368.0	1189100.0	29730.0	2355200.0	54170.0	7120000.0	145400.0	17364000.0	989700.0	nan	nan	nan	nan	nan	nan
2585	0.5936148	1.6980000000000002	5.3020000000000005	nan	nan	11444.0	786.0	9963.0	710.4	19058.0	343.0	24588.0	442.59999999999997	36481.0	583.7	41211.0	1801.0	50602.0	4048.0	86466.0	6305.0	80912.0	8786.0	nan	nan	nan	nan	534540.0	153000.0	nan	nan	46304000.0	10270000.0	25183000.0	10200000.0	nan	nan
2587	0.63995767	2.594	7.078	nan	nan	9376.6	1805.0	10163.0	742.9	19195.0	341.7	20689.0	417.9	29247.0	579.0999999999999	31780.0	1939.0	44613.0	4062.9999999999995	75656.0	6453.0	103090.0	8786.0	165970.0	8298.0	214990.0	16340.0	556070.0	185300.0	nan	nan	nan	nan	nan	nan	nan	nan
