id	redshift	xray_boxcar_2to10keV	xray_boxcar_2to10keV_err	xray_boxcar_0p5to2keV	xray_boxcar_0p5to2keV_err	galex.FUV	galex.FUV_err	galex.NUV	galex.NUV_err	u_prime	u_prime_err	g_prime	g_prime_err	r_prime	r_prime_err	i_prime	i_prime_err	z_prime	z_prime_err	UKIRT_WFCJ	UKIRT_WFCJ_err	ukirt.H	ukirt.H_err	ukirt.Ks	ukirt.Ks_err	WISE1	WISE1_err	WISE2	WISE2_err	WISE3	WISE3_err	WISE4	WISE4_err	PSW	PSW_err	PMW	PMW_err	PLW	PLW_err
4028	0.3929791	nan	nan	3.3400000000000003	0.47234732983261385	nan	nan	nan	nan	nan	nan	4502.799999999999	514.5416196965995	17213.0	1775.5376481505539	29443.0	3015.973383503243	40632.0	4672.949629516672	58974.0	8270.896430254705	75857.0	12214.138262276221	78761.0	11138.487438606735	60149.0	8091.9460582730035	32481.0	11507.899617653953	286300.0	138687.29898588406	nan	nan	nan	nan	nan	nan	nan	nan
4159	0.3444124	nan	nan	2.379	0.3364414064885593	nan	nan	nan	nan	8288.3	1039.0316303655052	12367.0	1266.0013941540508	20608.0	2095.0181502793716	25594.0	2607.6098577049443	35681.0	3934.922948419702	33740.0	9916.627501323219	36120.0	11378.516775045859	57698.0	8159.729412180284	69571.0	8866.073336601723	85041.0	14423.668632147648	nan	nan	2600000.0	nan	nan	nan	nan	nan	nan	nan
4214	0.2319613	nan	nan	9.725	1.375322689407835	15379.0	1907.820067511609	21745.0	2398.8787484989734	31966.0	3457.2735732076517	74627.0	7492.859123859197	162530.0	16285.225973255636	235680.0	23603.6065040917	286180.0	28901.057921813175	305990.0	33027.317496278745	370120.0	43210.85678391485	425890.0	60229.94140790775	296500.0	31414.437763550693	290820.0	32912.47216481922	1442400.0	201080.05271533027	3980500.0	955917.6808177575	nan	nan	nan	nan	nan	nan
4272	0.3911264	nan	nan	8.403	1.1883636564621118	nan	nan	nan	nan	9266.8	1208.425083486767	15586.0	1596.2187224813524	38873.0	3925.207628903215	59528.0	5996.932072318312	83577.0	8674.530436282992	113380.0	12724.481128910522	144950.0	16467.995658245723	203270.0	28746.719082357904	254930.0	27182.246743049036	301180.0	33945.97949684174	421690.0	120143.55813359283	nan	nan	nan	nan	nan	nan	nan	nan
4295	0.3034259	13.6	1.9233304448274096	53.940000000000005	7.628267955440476	nan	nan	12286.0	1605.806327051927	13778.0	1716.6562964088066	31572.0	3194.4173615856776	83892.0	8423.86230894119	128060.0	12855.495517482008	177960.0	18202.634204971542	238490.0	24324.092110498183	299580.0	30714.089486748584	389270.0	55051.09134249747	334220.0	35195.04203719609	351260.0	38812.574972552386	1018500.0	174830.86826987963	2520100.0	952830.6513226787	nan	nan	nan	nan	nan	nan
4387	0.2783752	3.311	0.46824611050173176	5.354	0.7571699412945551	nan	nan	nan	nan	7313.7	948.5983801904788	15427.0	1570.8780124503621	38381.0	3867.973584449615	56255.0	5663.22673129021	82099.0	8462.456027064483	112870.0	12178.58140343119	146280.0	16060.77660015231	189850.0	26848.84448165321	155320.0	17365.303913263368	199540.0	24358.222759470773	721410.0	145364.24553857802	2880400.0	912930.8471072713	nan	nan	nan	nan	nan	nan
4409	0.2551668	1.627	0.23009254659810258	5.038	0.7124807927235653	nan	nan	nan	nan	4673.2	810.0832502897464	7560.1	799.9910500124362	17693.0	1819.9558923226684	28007.0	2871.342802592543	41104.0	4665.430008048562	45955.0	7616.567222180869	54248.0	10130.82380855575	74636.0	10555.124344127833	56238.0	8073.065739853727	54705.0	12428.675321610102	nan	nan	2600000.0	nan	nan	nan	nan	nan	nan	nan
4602	0.1662703	2.624	0.3710896387667002	26.29	3.717967455478867	8419.2	1243.8459094276911	13223.0	1621.325547198958	20625.0	2323.5331394236664	49206.0	4949.7395941604855	99565.0	9988.308390313146	146310.0	14675.423060341394	170560.0	17421.120515052986	218680.0	22459.38164776582	263480.0	27411.417785295238	280680.0	39694.14626868803	234440.0	24916.956796527138	223270.0	25921.879349306448	nan	nan	2600000.0	nan	nan	nan	nan	nan	nan	nan
4624	0.5206637	8.046	1.1378762322853924	nan	nan	nan	nan	nan	nan	810.22	378.2787523559842	2177.0	271.60090206035767	6615.8	714.0266496427147	15540.0	1604.1074901639229	21757.0	2517.225951320223	38829.0	5230.863925777462	60483.0	7760.217580068229	70949.0	10033.703803680872	90204.0	10959.278815688558	100100.0	15788.736491562584	331460.0	165748.053732163	nan	nan	nan	nan	nan	nan	nan	nan
4804	0.4863	0.4915	0.06950859659063763	1.1139999999999999	0.15754339084836277	nan	nan	6254.8	1188.8423908996515	3430.8999999999996	724.2234379664884	7461.9	794.5962031749209	21321.0	2179.484895565922	34808.0	3537.3533383025224	49314.0	5335.548234249223	73595.0	8796.326747569125	103120.0	12535.209332117274	119250.0	16864.496731299158	112210.0	13086.028045209134	88803.0	15423.093985643738	568100.0	178008.61243209554	nan	nan	40859000.0	11397551.439234657	nan	nan	nan	nan
