id	best.stellar.m_star	bayes.stellar.m_star	bayes.stellar.m_star_err	best.reduced_chi_square	best.sfh.age_main	best.sfh.tau_main	bayes.agn.luminosity	bayes.agn.fracAGN	bayes.agn.luminosity_err	bayes.agn.fracAGN_err	redshift
2693	5.279936081744331e+16	5.428538699883878e+16	2714269349941939.5	19.787130274622974	3000.0	2000.0	2.3194762832318487e+43	0.09999999999999994	1.1597381416159245e+42	6.166902451119954e-17	0.3216157
3327	5.3189445128798536e+16	5.328108463542536e+16	2664054231771268.0	32.66545754355034	1000.0	200.0	2.327573675308501e+43	0.10000000000000005	1.1637868376542504e+42	6.062610300433013e-16	0.2383117
5064	5.379968461286383e+16	5.500048220324437e+16	2750024110162218.5	4.573860790921542	1000.0	200.0	1.2782028804544126e+43	0.09999999999999994	1.1846847851727077e+42	9.89540740175822e-16	0.5701151
3557	5.381781151764151e+16	5.3894689227648456e+16	2694734461382423.0	35.571944899140384	1000.0	200.0	2.361471784093915e+43	0.10000000000000003	1.1807358920469576e+42	1.3579962515040158e-15	0.4684244
4488	5.403426219648874e+16	5.4199619504504664e+16	2709980975225233.5	18.388554744171817	1000.0	200.0	2.3690331516581025e+43	0.09999999999999995	1.1845165758290513e+42	4.6161583765176796e-17	0.7214859
4613	5.4122924214659256e+16	5.489975332213382e+16	3894416717311604.0	7.728570031695455	1000.0	200.0	2.350673951509219e+43	0.09999999999999994	1.1753369757546095e+42	5.731006720559318e-17	0.3723877
4442	5.420729269084407e+16	5.4438781521351256e+16	2721939076067563.0	5.517544606504851	1000.0	200.0	1.2129714667863913e+43	0.09999999999999992	6.0648573339319565e+41	4.022246213272344e-13	0.402803
4073	5.429918486839221e+16	5.53582294221938e+16	3629750774220526.5	21.21728416056718	3000.0	2000.0	2.3660027200683393e+43	0.10000000000000002	1.1830013600341696e+42	4.4609415912315886e-15	0.3446624
3547	5.453177790658463e+16	5.425435184408022e+16	6853240346618204.0	6.532705380656843	1000.0	200.0	1.423117153271071e+43	0.0999999999999995	2.589518248319102e+42	9.128695944317072e-11	0.3441546
4544	5.47274150169863e+16	5.512258086263278e+16	2756129043131639.5	10.466584931243128	1000.0	200.0	2.374022132460235e+43	0.09999999999999999	1.1870110662301175e+42	1.3879865519482162e-17	0.5992305
4441	5.477163123119177e+16	5.988628941536101e+16	1.5912825452857776e+16	10.962297587078156	1000.0	200.0	2.4285461208112823e+43	0.10000000000000003	1.689147997313297e+42	2.775532663837835e-17	0.7800174
5139	5.498825774510908e+16	5.7037335045451016e+16	3261160400151983.0	8.860795835726165	1000.0	200.0	2.2854785214164735e+43	0.09999999999999995	2.2737203727287456e+42	5.55188159244079e-17	0.7808984
3921	5.501611881732671e+16	5.536123652725082e+16	6644575802265783.0	21.554763396787074	3000.0	2000.0	2.2775455355447196e+43	0.10000000000000003	1.13877276777236e+42	3.0637895103481473e-17	0.4300475
3555	5.513248025795717e+16	4.212349018213536e+16	1.1435339449494102e+16	11.442724901081979	7000.0	5000.0	9.629448438829689e+42	0.10029094463896743	2.376351100887393e+42	0.007634479400231243	0.678476
5098	5.520084202535735e+16	6.130351989380022e+16	1.2925096725808922e+16	9.005991735464791	2000.0	200.0	8.642431750730827e+42	0.1331213259390563	2.781088893818881e+42	0.07434542995941358	0.3469614
3765	5.53464977677866e+16	6.03085804202465e+16	1.5954237664762432e+16	13.951002129318747	3000.0	2000.0	2.263316470582987e+43	0.09999999999999999	1.7374170527434518e+42	3.057161867083459e-17	0.5192012
3929	5.5628756450321384e+16	5.616758325844549e+16	2808379162922274.5	7.8870082199212	1000.0	200.0	2.405540315065506e+43	0.09999999999999996	1.202770157532753e+42	5.72197663288654e-17	0.5768138
107987	5.589147471066082e+16	5.5990599774437016e+16	2799529988721851.0	26.793375727948785	1000.0	200.0	2.4579310941791055e+43	0.09999999999999995	1.2289655470895528e+42	6.242227832678193e-17	0.59579
3171	5.6054553899563496e+16	5.654813961928515e+16	2827406980964258.0	19.956546392578506	1000.0	200.0	2.4134397251776105e+43	0.09999999999999999	1.2067198625888054e+42	4.2652612472672036e-15	0.331705
3246	5.607135365709591e+16	5.249529933321412e+16	4013842832169518.5	6.312942551951817	1000.0	200.0	1.5841181256016336e+43	0.10029725711254298	1.968659202982377e+42	0.007704742741820259	0.3607495
3492	5.687233033646961e+16	5.722263831823884e+16	2861131915911942.0	12.626547250184215	1000.0	200.0	2.474326829587384e+43	0.09999999999999995	1.237163414793692e+42	3.8930825113317348e-16	0.8832576
2587	5.73128291788928e+16	5.970588754421765e+16	8801447425575944.0	17.196244590231803	1000.0	200.0	2.5254209476191103e+43	0.09999999999999998	1.2627104738095553e+42	1.9673884534743807e-17	0.63995767
5008	5.762562994832611e+16	5.966132515146795e+16	9873202056822254.0	7.908483424016069	5000.0	5000.0	2.0373719045469612e+43	0.09999999999999998	1.1497150398682708e+42	6.409594027704011e-13	0.3931251
3339	5.780636740569948e+16	5.40810776542615e+16	9281942815113644.0	8.495472130864101	2000.0	500.0	1.1615483176217127e+43	0.10000000000644887	1.9736722798138314e+42	1.1356837168716352e-06	0.4995427
2474	5.782189904854913e+16	5.793054200516551e+16	2896527100258276.0	21.008742991666235	1000.0	200.0	2.5309811086638086e+43	0.09999999999999999	1.2654905543319044e+42	2.418005195416057e-17	0.7309
3281	5.790608551468732e+16	5.9095587339553864e+16	1.2768873478167274e+16	11.856504084510409	1000.0	200.0	1.4756829730730901e+43	0.09999999999999992	2.431973111571505e+42	2.7548718401742585e-13	0.7287148
2758	5.8237224787968344e+16	5.705362256792387e+16	2852681128396194.0	10.176507005046052	1000.0	200.0	1.2648229386171634e+43	0.1	6.324114693085817e+41	1.962617676218849e-17	0.3489321
